CALL: КОД;CALL: Объем торгов, руб;CALL: Объем торгов, контр;CALL: Сделок;CALL: Открыт.позиций;CALL: Макс.;CALL: Мин.;CALL: Последняя сделка, Значение;CALL: Последняя сделка, Дата;CALL: Последняя сделка, Изменение;CALL: ПОКУПКА;CALL: ПРОДАЖА;CALL: Расчетная цена;CALL: Теоретическая цена;СТРАЙК;IV;PUT: Теоретическая цена;PUT: Расчетная цена;PUT: ПОКУПКА;PUT: ПРОДАЖА;PUT: Последняя сделка, Значение;PUT: Последняя сделка, Дата;PUT: Последняя сделка, Изменение;PUT: Макс.за день;PUT: Мин. за день;PUT: Сделок;PUT: Открыт. позиций;PUT: Объем торгов, руб;PUT: Объем торгов, контр;PUT: КОД;
SR250CG6A;;;;;;;;;;;;50,0000;48,7800;250,000;52,37;0,02;0,1200;0,0100;;;;;;;;;;;SR250CS6A;
SR260CG6A;;;;;;;;;;;;40,1200;38,8100;260,000;43,76;0,03;0,2200;0,0100;0,8900;;;;;;;;;;SR260CS6A;
SR270CG6A;2700;10;1;1622;34,7700;34,7700;34,7700;25.06.26 11:40:39;5,94;28,0800;29,8700;30,2200;28,8800;270,000;36,67;0,07;0,2900;0,0300;0,7100;;;;;;;;;;SR270CS6A;
SR280CG6A;10703840;38228;13;77560;18,8600;17,1300;18,3600;25.06.26 16:10:45;-20,59;18,1500;19,9400;20,3400;19,0900;280,000;31,57;0,27;0,3800;0,2100;0,4000;0,25;25.06.26 18:07:40;-64,29;0,6200;0,1800;17;279888;56977480;203491;SR280CS6A;
SR290CG6A;5605700;19330;21;54764;14,1500;7,5200;8,9700;25.06.26 17:33:51;-24,62;9,0800;10,7300;10,8700;10,0800;290,000;28,42;1,23;0,8900;1,1000;1,4100;1,50;25.06.26 18:16:33;111,27;1,7300;0,3700;134;334422;77912270;268663;SR290CS6A;
SR300CG6A;3813300;12711;145;146388;6,9000;1,4800;3,1100;25.06.26 17:43:35;-67,84;2,9100;3,8400;3,5300;3,4000;300,000;25,78;4,53;3,5100;3,6800;4,4500;4,77;25.06.26 18:30:21;85,60;6,1200;0,9900;99;153208;8361000;27870;SR300CS6A;
SR310CG6A;27106710;87441;112;402460;2,5600;0,5000;0,8900;25.06.26 18:36:42;-51,37;0,7000;0,9300;1,0100;0,7800;310,000;26,96;11,89;10,9700;10,7900;12,5800;13,20;25.06.26 17:53:44;83,33;14,6300;6,1900;48;55742;3478510;11221;SR310CS6A;
SR320CG6A;10777600;33680;16;123716;0,2500;0,1000;0,1200;25.06.26 18:06:39;-72,09;0,0800;0,2000;0,5500;0,2000;320,000;30,52;21,28;20,4800;20,4000;21,9900;22,50;25.06.26 14:40:27;30,81;22,5000;16,5700;7;43340;162880;509;SR320CS6A;
SR330CG6A;212850;645;3;58782;0,8900;0,6500;0,8900;25.06.26 10:02:30;493,33;;0,6900;0,4100;0,0800;330,000;35,54;31,13;30,3200;30,3300;32,1200;26,99;25.06.26 10:35:22;-0,04;26,9900;26,9300;2;15362;1980;6;SR330CS6A;
SR340CG6A;748000;2200;10;109664;0,0700;0,0400;0,0400;25.06.26 16:53:09;-42,86;0,0300;0,3700;0,2900;0,0400;340,000;41,47;41,08;40,1700;0,0200;;37,00;25.06.26 10:55:02;0;37,0000;37,0000;1;15286;6800;20;SR340CS6A;
SR350CG6A;;;;8602;;;;;;0,0100;0,6900;0,1800;0,0300;350,000;47,85;51,04;50,0300;0,0700;;;;;;;;1600;;;SR350CS6A;
SR360CG6A;;;;;;;;;;;0,6900;0,0900;0,0300;360,000;54,31;61,02;59,9200;;;;;;;;;;;;SR360CS6A;
SR370CG6A;;;;;;;;;;;0,6900;0,0400;0,0200;370,000;60,54;70,99;69,8400;;;;;;;;;;;;SR370CS6A;
